service_id,date,exception_type
OP42BLSG,20260825,1
OP42LJV,20260825,1
OP43LVA,20260825,1
OP44BLSG,20260825,1
OP9LV,20260825,1
PRUEBA,20260825,1
OP40BLSG,20260826,1
OP40LV,20260826,1
OP41BLSG,20260826,1
OP42BLSG,20260826,1
OP42LJV,20260826,1
OP43LVA,20260826,1
OP44BLSG,20260826,1
OP9LV,20260826,1
PRUEBA,20260826,1
OP40BLSG,20260827,1
OP40LV,20260827,1
OP41BLSG,20260827,1
OP42BLSG,20260827,1
OP42LJV,20260827,1
OP43LVA,20260827,1
OP44BVSG,20260827,1
OP9LV,20260827,1
PRUEBA,20260827,1
OP40BLSG,20260828,1
OP40LV,20260828,1
OP41BVSG,20260828,1
OP42BLSG,20260828,1
OP42LJV,20260828,1
OP43LVA,20260828,1
OP44BVSG,20260828,1
OP9LV,20260828,1
PRUEBA,20260828,1
OP40BSSG,20260829,1
OP40SV,20260829,1
OP41B2SSG,20260829,1
OP42B2SSG,20260829,1
OP42SVAN,20260829,1
OP43SV,20260829,1
OP44BSSG,20260829,1
OP9SVA,20260829,1
PRUEBA,20260829,1
OP40B2FSG,20260830,1
OP40FV,20260830,1
OP41B2FSG,20260830,1
OP42B2FSG,20260830,1
OP42FV,20260830,1
OP43FV,20260830,1
OP44B2FSG,20260830,1
OP9FVA,20260830,1
PRUEBA,20260830,1
